Property_price_EGP,Location_governorate,Location_City,Bed_Rooms,Bath_Rooms,Home_Space_SQM,Furnished,Property_Type,Payment_Option,Delivery_Date
"700,000",Cairo,Zahraa Al Maadi,3,1,135,No,Apartment,Cash,Ready To Move
"6,000,000",Cairo,Mokattam,3,3,185,No,Apartment,Cash,Ready To Move
"5,574,583",Cairo,New Cairo - El Tagamoa,2,2,133,No,Apartment,Cash,Ready To Move
"2,200,000Negotiable",,145 SQM,23icon/categories/area145 SQM,,icon/categories/area145,No,Apartment,Cash,Ready To Move
"5,400,000",Cairo,Shorouk City,3,3,210,No,Apartment,Cash,Ready To Move
"1,254,000Negotiable",,190 SQM,33icon/categories/area190 SQM,,icon/categories/area190,No,Apartment,Cash,Ready To Move
"970,000",Dakahlia,New Mansoura,2,2,121,No,Apartment,Cash,Ready To Move
"2,500,000Negotiable",,289 SQM,43icon/categories/area289 SQM,,icon/categories/area289,No,Apartment,Cash,Ready To Move
"6,500,000",Cairo,Al Manial,4,2,240,No,Apartment,Cash,Ready To Move
"5,000,000",Cairo,New Cairo - El Tagamoa,3,3,187,No,Apartment,Cash,Ready To Move
"1,850,000",Giza,Sheikh Zayed,3,3,161,No,Apartment,Cash,Ready To Move
"600,000Negotiable",,150 SQM,33icon/categories/area150 SQM,,icon/categories/area150,No,Apartment,Cash,Ready To Move
"2,289,000",Cairo,New Cairo - El Tagamoa,3,3,212,No,Apartment,Cash,Ready To Move
"1,525,318",Cairo,New Cairo - El Tagamoa,3,2,168,No,Apartment,Cash,Ready To Move
"3,900,000",Giza,6th of October,3,3,175,No,Apartment,Cash,Ready To Move
"2,682,703Negotiable",,150 SQM,33icon/categories/area150 SQM,,icon/categories/area150,No,Apartment,Cash,Ready To Move
"2,490,000",Giza,Sheikh Zayed,3,3,228,No,Apartment,Cash,Ready To Move
"3,000,000Negotiable",,175 SQM,32icon/categories/area175 SQM,,icon/categories/area175,No,Apartment,Cash,Ready To Move
"1,600,000",Cairo,Madinaty,3,2,116,No,Apartment,Cash,Ready To Move
"3,305,000Negotiable",,189 SQM,43icon/categories/area189 SQM,,icon/categories/area189,No,Apartment,Cash,Ready To Move
"6,500,000",Giza,Sheikh Zayed,3,3,243,No,Apartment,Cash,Ready To Move
"1,100,000",Cairo,New Cairo - El Tagamoa,3,3,210,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,New Cairo - El Tagamoa,3,3,200,No,Apartment,Cash,Ready To Move
"3,600,000",Giza,Sheikh Zayed,3,2,170,No,Apartment,Cash,Ready To Move
"4,000,000",Cairo,Madinaty,3,3,211,No,Apartment,Cash,Ready To Move
"3,425,000",Cairo,New Cairo - El Tagamoa,3,3,205,No,Apartment,Cash,Ready To Move
"1,795,000",Giza,Sheikh Zayed,1,1,350,No,Apartment,Cash,Ready To Move
"5,500,000",Cairo,New Cairo - El Tagamoa,3,3,262,No,Apartment,Cash,Ready To Move
"3,600,000Negotiable",,171 SQM,33icon/categories/area171 SQM,,icon/categories/area171,No,Apartment,Cash,Ready To Move
"650,000",Giza,Hadayek 6th of October,3,3,150,No,Apartment,Cash,Ready To Move
"4,700,000",Cairo,New Cairo - El Tagamoa,4,4,200,No,Apartment,Cash,Ready To Move
"2,650,000",Cairo,Heliopolis,3,2,170,No,Apartment,Cash,Ready To Move
"3,300,000",Cairo,Madinaty,3,3,165,No,Apartment,Cash,Ready To Move
"5,700,000",Cairo,New Cairo - El Tagamoa,3,3,189,No,Apartment,Cash,Ready To Move
"3,700,000",Cairo,New Cairo - El Tagamoa,2,3,143,No,Apartment,Cash,Ready To Move
"2,150,000",Cairo,New Cairo - El Tagamoa,3,3,175,No,Apartment,Cash,Ready To Move
"2,880,000",Cairo,New Cairo - El Tagamoa,4,3,200,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,New Cairo - El Tagamoa,3,3,200,No,Apartment,Cash,Ready To Move
"330,000",Asyut,Asyut City,3,1,85,No,Apartment,Cash,Ready To Move
"6,900,000",Cairo,New Cairo - El Tagamoa,3,2,167,No,Apartment,Cash,Ready To Move
"3,850,000",Giza,Sheikh Zayed,3,3,197,No,Apartment,Cash,Ready To Move
"4,500,000",Cairo,Nasr City,10,10,700,No,Apartment,Cash,Ready To Move
"2,200,000",Cairo,New Capital City,2,2,125,No,Apartment,Cash,Ready To Move
"2,477,600",Cairo,Shorouk City,3,3,238,No,Apartment,Cash,Ready To Move
"2,240,000Negotiable",,220 SQM,33icon/categories/area220 SQM,,icon/categories/area220,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,New Cairo - El Tagamoa,2,2,167,No,Apartment,Cash,Ready To Move
"3,100,000",Cairo,New Cairo - El Tagamoa,3,2,170,No,Apartment,Cash,Ready To Move
"4,825,000",Cairo,New Cairo - El Tagamoa,3,3,212,No,Apartment,Cash,Ready To Move
"1,700,000",Alexandria,Smoha,1,1,70,No,Apartment,Cash,Ready To Move
"2,600,000",Cairo,New Cairo - El Tagamoa,4,2,200,No,Apartment,Cash,Ready To Move
"600,000Negotiable",,150 SQM,33icon/categories/area150 SQM,,icon/categories/area150,No,Apartment,Cash,Ready To Move
"300,000Negotiable",,175 SQM,21icon/categories/area175 SQM,,icon/categories/area175,No,Apartment,Cash,Ready To Move
"5,500,000Negotiable",,240 SQM,33icon/categories/area240 SQM,,icon/categories/area240,No,Apartment,Cash,Ready To Move
"500,000",Sharqia,10th of Ramadan,3,2,135,No,Apartment,Cash,Ready To Move
"1,200,000",Cairo,Madinaty,3,2,115,No,Apartment,Cash,Ready To Move
"2,870,000",Giza,6th of October,3,3,155,No,Apartment,Cash,Ready To Move
"3,030,000",Alexandria,Miami,3,2,202,No,Apartment,Cash,Ready To Move
"2,700,000",Cairo,Nasr City,3,2,240,No,Apartment,Cash,Ready To Move
"1,069,547",Cairo,Mokattam,3,2,124,No,Apartment,Cash,Ready To Move
"2,450,000",Cairo,New Cairo - El Tagamoa,4,3,200,No,Apartment,Cash,Ready To Move
"4,500,000",Cairo,New Cairo - El Tagamoa,3,3,220,No,Apartment,Cash,Ready To Move
"700,000Negotiable",,360 SQM,33icon/categories/area360 SQM,,icon/categories/area360,No,Apartment,Cash,Ready To Move
"2,030,000",Cairo,New Capital City,3,3,180,No,Apartment,Cash,Ready To Move
"2,369,670",Matruh,North Coast,2,1,98,No,Apartment,Cash,Ready To Move
"650,000",Damietta,Ras al-Bar,2,1,65,No,Apartment,Cash,Ready To Move
"1,000,000",Cairo,Nasr City,3,2,150,No,Apartment,Cash,Ready To Move
"3,850,000",Cairo,New Cairo - El Tagamoa,3,3,199,No,Apartment,Cash,Ready To Move
"8,000,000Negotiable",,176 SQM,34icon/categories/area176 SQM,,icon/categories/area176,No,Apartment,Cash,Ready To Move
"2,900,000",Alexandria,Glim,2,2,135,No,Apartment,Cash,Ready To Move
"1,850,000Negotiable",,140 SQM,32icon/categories/area140 SQM,,icon/categories/area140,No,Apartment,Cash,Ready To Move
"1,420,000",Cairo,New Cairo - El Tagamoa,3,3,168,No,Apartment,Cash,Ready To Move
"664,000Negotiable",,80 SQM,21icon/categories/area80 SQM,,icon/categories/area80,No,Apartment,Cash,Ready To Move
"300,000",Cairo,New Nozha,3,2,147,No,Apartment,Cash,Ready To Move
"1,114,000",Cairo,New Cairo - El Tagamoa,3,2,130,No,Apartment,Cash,Ready To Move
"1,044,000",Giza,6th of October,3,3,174,No,Apartment,Cash,Ready To Move
"8,500,000",Cairo,New Cairo - El Tagamoa,3,3,234,No,Apartment,Cash,Ready To Move
"2,600,000",Giza,6th of October,2,2,146,No,Apartment,Cash,Ready To Move
"4,500,000",Cairo,New Cairo - El Tagamoa,5,4,390,No,Apartment,Cash,Ready To Move
"1,450,000",Cairo,New Capital City,2,2,122,No,Apartment,Cash,Ready To Move
"1,950,000",Alexandria,Glim,3,2,150,No,Apartment,Cash,Ready To Move
"1,800,000Negotiable",,210 SQM,32icon/categories/area210 SQM,,icon/categories/area210,No,Apartment,Cash,Ready To Move
"2,200,000Negotiable",,165 SQM,32icon/categories/area165 SQM,,icon/categories/area165,No,Apartment,Cash,Ready To Move
"567,000",Red Sea,Hurghada,2,1,75,No,Apartment,Cash,Ready To Move
"3,100,000",Giza,Sheikh Zayed,3,2,134,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,Madinaty,3,3,200,No,Apartment,Cash,Ready To Move
"2,950,000",Alexandria,Kafr Abdo,3,2,186,No,Apartment,Cash,Ready To Move
"2,700,000",Cairo,New Capital City,3,3,150,No,Apartment,Cash,Ready To Move
"4,000,000",Cairo,New Cairo - El Tagamoa,2,2,172,No,Apartment,Cash,Ready To Move
"650,000",Cairo,New Cairo - El Tagamoa,3,3,140,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,New Cairo - El Tagamoa,3,3,199,No,Apartment,Cash,Ready To Move
"2,000,000",Alexandria,Laurent,3,2,165,No,Apartment,Cash,Ready To Move
"1,800,000",Cairo,Madinaty,2,1,97,No,Apartment,Cash,Ready To Move
"3,200,000",Alexandria,Smoha,3,2,175,No,Apartment,Cash,Ready To Move
"2,500,000",Giza,Sheikh Zayed,3,2,137,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,Madinaty,3,3,205,No,Apartment,Cash,Ready To Move
"1,300,000Negotiable",,200 SQM,32icon/categories/area200 SQM,,icon/categories/area200,No,Apartment,Cash,Ready To Move
"750,000",Alexandria,Miami,2,1,96,No,Apartment,Cash,Ready To Move
"450,000",Cairo,New Cairo - El Tagamoa,3,2,130,No,Apartment,Cash,Ready To Move
"1,080,640",Cairo,Obour City,2,1,110,No,Apartment,Cash,Ready To Move
"3,600,000Negotiable",,196 SQM,43icon/categories/area196 SQM,,icon/categories/area196,No,Apartment,Cash,Ready To Move
